station_id,lat,lon,station_name,global_y,global_x
0,8.25,-61.75,station_163-236,163,236
1,7.75,-60.75,station_164-238,164,238
2,7.25,-65.75,station_165-228,165,228
3,7.25,-63.25,station_165-233,165,233
4,6.75,-59.25,station_166-241,166,241
5,6.25,-64.75,station_167-230,167,230
6,5.25,-59.75,station_169-240,169,240
7,4.75,-68.25,station_170-223,170,223
8,4.75,-65.75,station_170-228,170,228
9,4.75,-56.75,station_170-246,170,246
10,4.75,-54.25,station_170-251,170,251
11,3.75,-57.75,station_172-244,172,244
12,3.75,-54.75,station_172-250,172,250
13,3.25,-74.25,station_173-211,173,211
14,3.25,-60.25,station_173-239,173,239
15,3.25,-57.25,station_173-245,173,245
16,2.75,-67.75,station_174-224,174,224
17,2.25,-57.75,station_175-244,175,244
18,2.25,-55.25,station_175-249,175,249
19,1.75,-73.25,station_176-213,176,213
20,1.75,-68.25,station_176-223,176,223
21,1.75,-64.25,station_176-231,176,231
22,1.75,-52.75,station_176-254,176,254
23,1.25,-69.25,station_177-221,177,221
24,1.25,-51.75,station_177-256,177,256
25,0.75,-57.75,station_178-244,178,244
26,0.25,-77.75,station_179-204,179,204
27,0.25,-74.75,station_179-210,179,210
28,0.25,-71.75,station_179-216,179,216
29,0.25,-68.25,station_179-223,179,223
30,0.25,-65.75,station_179-228,179,228
31,0.25,-61.25,station_179-237,179,237
32,-0.25,-76.25,station_180-207,180,207
33,-0.25,-58.75,station_180-242,180,242
34,-0.75,-74.75,station_181-210,181,210
35,-0.75,-66.75,station_181-226,181,226
36,-1.25,-73.75,station_182-212,182,212
37,-1.25,-69.75,station_182-220,182,220
38,-1.25,-67.75,station_182-224,182,224
39,-1.25,-65.25,station_182-229,182,229
40,-1.25,-58.75,station_182-242,182,242
41,-1.25,-46.75,station_182-266,182,266
42,-1.75,-56.25,station_183-247,183,247
43,-1.75,-54.75,station_183-250,183,250
44,-2.25,-50.75,station_184-258,184,258
45,-2.75,-77.25,station_185-205,185,205
46,-2.75,-73.75,station_185-212,185,212
47,-3.25,-76.25,station_186-207,186,207
48,-3.25,-58.25,station_186-243,186,243
49,-3.25,-49.75,station_186-260,186,260
50,-3.25,-44.75,station_186-270,186,270
51,-4.25,-61.75,station_188-236,188,236
52,-4.75,-76.75,station_189-206,189,206
53,-4.75,-66.75,station_189-226,189,226
54,-4.75,-64.25,station_189-231,189,231
55,-4.75,-54.75,station_189-250,189,250
56,-4.75,-52.25,station_189-255,189,255
57,-4.75,-49.75,station_189-260,189,260
58,-5.25,-73.25,station_190-213,190,213
59,-5.25,-67.25,station_190-225,190,225
60,-5.25,-63.25,station_190-233,190,233
61,-5.25,-58.25,station_190-243,190,243
62,-5.75,-65.25,station_191-229,191,229
63,-5.75,-60.25,station_191-239,191,239
64,-5.75,-53.25,station_191-253,191,253
65,-6.25,-77.75,station_192-204,192,204
66,-6.25,-54.75,station_192-250,192,250
67,-6.25,-51.75,station_192-256,192,256
68,-6.25,-50.75,station_192-258,192,258
69,-6.75,-76.25,station_193-207,193,207
70,-6.75,-72.25,station_193-215,193,215
71,-6.75,-48.75,station_193-262,193,262
72,-7.25,-70.25,station_194-219,194,219
73,-7.75,-68.75,station_195-222,195,222
74,-7.75,-59.25,station_195-241,195,241
75,-8.25,-62.25,station_196-235,196,235
76,-8.25,-58.25,station_196-243,196,243
77,-8.25,-54.25,station_196-251,196,251
78,-8.25,-51.75,station_196-256,196,256
79,-8.25,-49.25,station_196-261,196,261
80,-8.75,-72.25,station_197-215,197,215
81,-8.75,-67.75,station_197-224,197,224
82,-9.25,-71.25,station_198-217,198,217
83,-9.25,-63.75,station_198-232,198,232
84,-9.25,-59.75,station_198-240,198,240
85,-9.25,-53.25,station_198-253,198,253
86,-9.25,-50.25,station_198-259,198,259
87,-9.25,-48.75,station_198-262,198,262
88,-9.25,-46.75,station_198-266,198,266
89,-9.75,-60.75,station_199-238,199,238
90,-9.75,-57.75,station_199-244,199,244
91,-10.25,-74.75,station_200-210,200,210
92,-10.25,-69.75,station_200-220,200,220
93,-10.25,-55.75,station_200-248,200,248
94,-10.75,-68.75,station_201-222,201,222
95,-10.75,-64.75,station_201-230,201,230
96,-11.25,-75.75,station_202-208,202,208
97,-11.25,-67.25,station_202-225,202,225
98,-11.25,-55.75,station_202-248,202,248
99,-11.25,-50.75,station_202-258,202,258
100,-11.75,-74.25,station_203-211,203,211
101,-11.75,-58.75,station_203-242,203,242
102,-11.75,-48.75,station_203-262,203,262
103,-12.25,-73.25,station_204-213,204,213
104,-12.25,-69.75,station_204-220,204,220
105,-12.25,-68.25,station_204-223,204,223
106,-12.25,-63.75,station_204-232,204,232
107,-12.25,-49.75,station_204-260,204,260
108,-12.75,-74.75,station_205-210,205,210
109,-13.25,-66.75,station_206-226,206,226
110,-13.25,-60.25,station_206-239,206,239
111,-13.25,-53.25,station_206-253,206,253
112,-13.75,-70.75,station_207-218,207,218
113,-13.75,-64.75,station_207-230,207,230
114,-13.75,-52.75,station_207-254,207,254
115,-14.25,-56.25,station_208-247,208,247
116,-14.75,-65.25,station_209-229,209,229
117,-14.75,-58.25,station_209-243,209,243
118,-14.75,-50.25,station_209-259,209,259
119,-15.25,-71.75,station_210-216,210,216
120,-15.75,-67.75,station_211-224,211,224
121,-15.75,-63.25,station_211-233,211,233
122,-15.75,-60.25,station_211-239,211,239
123,-15.75,-54.75,station_211-250,211,250
124,-16.25,-52.75,station_212-254,212,254
125,-17.25,-65.75,station_214-228,214,228
126,-17.25,-61.25,station_214-237,214,237
127,-19.25,-63.25,station_218-233,218,233
